,MSE,RMSE,MAE,R2
SVR,11751.3273,108.4035,48.2331,-0.0666
RF,8856.1201,94.107,51.3802,0.1962
XGB,9209.9883,95.9687,52.5733,0.1641
MLP,9043.2967,95.0962,52.5753,0.1792
